source,target,weight,association,target_organism,target_gene,source_organism,source_gene
Ga0081607_11219,Ga0081607_115212,0.01928,positive,Ga0081607,115212,Ga0081607,11219
Ga0081607_11219,Ga0081607_116221,0.01995,positive,Ga0081607,116221,Ga0081607,11219
Ga0081607_11219,Ga0081607_107914,0.02173,positive,Ga0081607,107914,Ga0081607,11219
Ga0081607_11219,Ga0081607_115213,0.02291,positive,Ga0081607,115213,Ga0081607,11219
Ga0081607_108214,Ga0081607_11235,0.01928,positive,Ga0081607,11235,Ga0081607,108214
Ga0081607_108214,Ga0081607_10433,0.01973,positive,Ga0081607,10433,Ga0081607,108214
Ga0081607_108214,Ga0081607_12364,0.02106,positive,Ga0081607,12364,Ga0081607,108214
Ga0081607_108214,Ga0081629_10591,-0.02555,negative,Ga0081629,10591,Ga0081607,108214
Ga0081607_115213,Ga0081607_113519,0.01923,positive,Ga0081607,113519,Ga0081607,115213
Ga0081607_115213,Ga0081607_12485,0.01935,positive,Ga0081607,12485,Ga0081607,115213
Ga0081607_115213,Ga0081607_11288,0.01982,positive,Ga0081607,11288,Ga0081607,115213
Ga0081607_115213,Ga0081607_118613,0.02029,positive,Ga0081607,118613,Ga0081607,115213
Ga0081607_115213,Ga0081607_12308,0.0218,positive,Ga0081607,12308,Ga0081607,115213
Ga0081607_115213,Ga0081607_11219,0.02291,positive,Ga0081607,11219,Ga0081607,115213
Ga0081607_115213,Ga0081607_115211,0.02336,positive,Ga0081607,115211,Ga0081607,115213
Ga0081607_115213,Ga0081607_115212,0.02512,positive,Ga0081607,115212,Ga0081607,115213
Ga0081607_115213,Ga0081607_11521,0.02635,positive,Ga0081607,11521,Ga0081607,115213
Ga0081607_115213,Ga0081607_116221,0.02667,positive,Ga0081607,116221,Ga0081607,115213
Ga0081607_115213,Ga0081607_104311,0.0282,positive,Ga0081607,104311,Ga0081607,115213
Ga0081629_12073,Ga0081607_11876,-0.01917,negative,Ga0081607,11876,Ga0081629,12073
Ga0081629_12073,Ga0081629_11162,0.01979,positive,Ga0081629,11162,Ga0081629,12073
Ga0081629_12073,Ga0081607_111619,0.02039,positive,Ga0081607,111619,Ga0081629,12073
Ga0081629_12073,Ga0081629_10478,0.02252,positive,Ga0081629,10478,Ga0081629,12073
Ga0081629_12073,Ga0081629_10632,0.02733,positive,Ga0081629,10632,Ga0081629,12073
Ga0081629_12073,Ga0081607_108422,-0.02811,negative,Ga0081607,108422,Ga0081629,12073
Ga0081629_12073,Ga0081629_116111,0.02811,positive,Ga0081629,116111,Ga0081629,12073
Ga0081629_12073,Ga0081629_11451,0.03172,positive,Ga0081629,11451,Ga0081629,12073
Ga0081629_12073,Ga0081629_10266,0.03223,positive,Ga0081629,10266,Ga0081629,12073
Ga0081629_12073,Ga0081629_11844,0.04107,positive,Ga0081629,11844,Ga0081629,12073
Ga0081629_12073,Ga0081629_10591,0.04116,positive,Ga0081629,10591,Ga0081629,12073
Ga0081629_12073,Ga0081629_12085,0.05048,positive,Ga0081629,12085,Ga0081629,12073
Ga0081629_12073,Ga0081629_11135,0.05055,positive,Ga0081629,11135,Ga0081629,12073
Ga0081607_117646,Ga0081607_110425,0.01901,positive,Ga0081607,110425,Ga0081607,117646
Ga0081607_117646,Ga0081607_11521,0.0221,positive,Ga0081607,11521,Ga0081607,117646
Ga0081607_117646,Ga0081607_122018,0.02504,positive,Ga0081607,122018,Ga0081607,117646
Ga0081607_114212,Ga0081607_11868,0.01927,positive,Ga0081607,11868,Ga0081607,114212
Ga0081607_114212,Ga0081607_111616,0.01953,positive,Ga0081607,111616,Ga0081607,114212
Ga0081607_114212,Ga0081607_118610,0.02175,positive,Ga0081607,118610,Ga0081607,114212
Ga0081607_114212,Ga0081607_12369,0.02243,positive,Ga0081607,12369,Ga0081607,114212
Ga0081607_109111,Ga0081607_109110,0.01932,positive,Ga0081607,109110,Ga0081607,109111
Ga0081607_109111,Ga0081607_115212,0.01954,positive,Ga0081607,115212,Ga0081607,109111
Ga0081607_109111,Ga0081607_108458,0.01961,positive,Ga0081607,108458,Ga0081607,109111
Ga0081607_109111,Ga0081607_110272,0.02016,positive,Ga0081607,110272,Ga0081607,109111
Ga0081607_109111,Ga0081607_107610,0.02226,positive,Ga0081607,107610,Ga0081607,109111
Ga0081607_109111,Ga0081607_121224,0.02627,positive,Ga0081607,121224,Ga0081607,109111
Ga0081607_12485,Ga0081607_116221,0.01913,positive,Ga0081607,116221,Ga0081607,12485
Ga0081607_12485,Ga0081607_12192,0.01914,positive,Ga0081607,12192,Ga0081607,12485
Ga0081607_12485,Ga0081607_111616,0.01933,positive,Ga0081607,111616,Ga0081607,12485
Ga0081607_12485,Ga0081607_115213,0.01935,positive,Ga0081607,115213,Ga0081607,12485
Ga0081607_12485,Ga0081607_11521,0.01967,positive,Ga0081607,11521,Ga0081607,12485
Ga0081607_101323,Ga0081607_110425,0.02025,positive,Ga0081607,110425,Ga0081607,101323
Ga0081607_101323,Ga0081607_117613,0.0208,positive,Ga0081607,117613,Ga0081607,101323
Ga0081607_101323,Ga0081607_104311,0.02102,positive,Ga0081607,104311,Ga0081607,101323
Ga0081607_101323,Ga0081607_11358,0.02238,positive,Ga0081607,11358,Ga0081607,101323
Ga0081607_101323,Ga0081607_12205,0.02318,positive,Ga0081607,12205,Ga0081607,101323
Ga0081607_101323,Ga0081607_11006,0.03654,positive,Ga0081607,11006,Ga0081607,101323
Ga0081629_12085,Ga0081607_11303,-0.019,negative,Ga0081607,11303,Ga0081629,12085
Ga0081629_12085,Ga0081607_110243,0.02335,positive,Ga0081607,110243,Ga0081629,12085
Ga0081629_12085,Ga0081607_11368,0.02376,positive,Ga0081607,11368,Ga0081629,12085
Ga0081629_12085,Ga0081629_10401,0.02379,positive,Ga0081629,10401,Ga0081629,12085
Ga0081629_12085,Ga0081607_125535,0.02502,positive,Ga0081607,125535,Ga0081629,12085
Ga0081629_12085,Ga0081607_10651,0.02676,positive,Ga0081607,10651,Ga0081629,12085
Ga0081629_12085,Ga0081629_122127,0.02774,positive,Ga0081629,122127,Ga0081629,12085
Ga0081629_12085,Ga0081607_10701,0.03067,positive,Ga0081607,10701,Ga0081629,12085
Ga0081629_12085,Ga0081629_10591,0.03618,positive,Ga0081629,10591,Ga0081629,12085
Ga0081629_12085,Ga0081629_114116,0.0406,positive,Ga0081629,114116,Ga0081629,12085
Ga0081629_12085,Ga0081607_108422,-0.04138,negative,Ga0081607,108422,Ga0081629,12085
Ga0081629_12085,Ga0081629_11844,0.04147,positive,Ga0081629,11844,Ga0081629,12085
Ga0081629_12085,Ga0081629_12073,0.05048,positive,Ga0081629,12073,Ga0081629,12085
Ga0081629_12085,Ga0081629_10266,0.06302,positive,Ga0081629,10266,Ga0081629,12085
Ga0081629_12085,Ga0081629_11135,0.0667,positive,Ga0081629,11135,Ga0081629,12085
Ga0081607_11868,Ga0081607_114212,0.01927,positive,Ga0081607,114212,Ga0081607,11868
Ga0081607_11868,Ga0081607_11521,0.02151,positive,Ga0081607,11521,Ga0081607,11868
Ga0081607_11868,Ga0081607_11288,0.02151,positive,Ga0081607,11288,Ga0081607,11868
Ga0081607_11868,Ga0081607_104311,0.02182,positive,Ga0081607,104311,Ga0081607,11868
Ga0081607_11868,Ga0081607_123013,0.02433,positive,Ga0081607,123013,Ga0081607,11868
Ga0081607_11868,Ga0081607_123012,0.02693,positive,Ga0081607,123012,Ga0081607,11868
Ga0081607_11868,Ga0081607_118610,0.0304,positive,Ga0081607,118610,Ga0081607,11868
Ga0081607_11868,Ga0081607_11869,0.0491,positive,Ga0081607,11869,Ga0081607,11868
Ga0081607_116318,Ga0081607_10311,0.01936,positive,Ga0081607,10311,Ga0081607,116318
Ga0081607_116318,Ga0081607_10822,0.01948,positive,Ga0081607,10822,Ga0081607,116318
Ga0081607_116318,Ga0081607_109629,0.0213,positive,Ga0081607,109629,Ga0081607,116318
Ga0081607_116318,Ga0081607_116932,0.02182,positive,Ga0081607,116932,Ga0081607,116318
Ga0081607_116318,Ga0081607_112315,0.02195,positive,Ga0081607,112315,Ga0081607,116318
Ga0081607_116318,Ga0081607_110243,0.02204,positive,Ga0081607,110243,Ga0081607,116318
Ga0081607_116318,Ga0081607_123012,0.0244,positive,Ga0081607,123012,Ga0081607,116318
Ga0081607_116318,Ga0081607_116319,0.0272,positive,Ga0081607,116319,Ga0081607,116318
