source_locus_tag	target_locus_tag	pcor	target_organism	target_gene	source_organism	source_gene	cross_species	source_organism_name	target_organism_name	source_gene_product	target_gene_product
Ga0081614_142199	Ga0081614_142197	-0.00395096462737	Ga0081614	142197	Ga0081614	142199	False	Methylobacter tundripaludum-129 (UID203)	Methylobacter tundripaludum-129 (UID203)	methane/ammonia monooxygenase subunit C	methane/ammonia monooxygenase subunit B
Ga0081614_142199	Ga0081614_142198	-0.00391884521297	Ga0081614	142198	Ga0081614	142199	False	Methylobacter tundripaludum-129 (UID203)	Methylobacter tundripaludum-129 (UID203)	methane/ammonia monooxygenase subunit C	methane/ammonia monooxygenase subunit A
Ga0081614_142199	Ga0081636_1208	-0.003398377729	Ga0081636	1208	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylococcaceae-55 (UID203)	methane/ammonia monooxygenase subunit C	methane/ammonia monooxygenase subunit A
Ga0081614_142199	Ga0081635_110111	0.00326360440388	Ga0081635	110111	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Burkholderiales-55 (UID4000)	methane/ammonia monooxygenase subunit C	ribosomal subunit interface protein
Ga0081614_142199	Ga0081614_14728	-0.00310562122228	Ga0081614	14728	Ga0081614	142199	False	Methylobacter tundripaludum-129 (UID203)	Methylobacter tundripaludum-129 (UID203)	methane/ammonia monooxygenase subunit C	two-component system, chemotaxis family, response regulator CheB
Ga0081614_142199	Ga0081636_14131	-0.0030762554023	Ga0081636	14131	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Methylococcaceae-55 (UID203)	methane/ammonia monooxygenase subunit C	repressor LexA
Ga0081614_142199	Ga0081610_102211	0.00297098624857	Ga0081610	102211	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Rhodocyclaceae-127 (UID3972)	methane/ammonia monooxygenase subunit C	transcription antitermination protein nusG
Ga0081614_142199	Ga0081651_13543	0.00290777007488	Ga0081651	13543	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-79 (UID4214)	methane/ammonia monooxygenase subunit C	type IV pilus assembly protein PilA
Ga0081614_142199	Ga0081659_103510	-0.00289424116718	Ga0081659	103510	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-98 (UID4105)	methane/ammonia monooxygenase subunit C	2-oxoglutarate ferredoxin oxidoreductase subunit beta
Ga0081614_142199	Ga0081635_14114	0.00288587662933	Ga0081635	14114	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Burkholderiales-55 (UID4000)	methane/ammonia monooxygenase subunit C	hypothetical protein
Ga0081614_142199	Ga0081613_16088	0.00287283152832	Ga0081613	16088	Ga0081614	142199	True	Methylobacter tundripaludum-129 (UID203)	Acidovorax-127 (UID4105)	methane/ammonia monooxygenase subunit C	dissimilatory nitrite reductase (NO-forming), cytochrome cd1 type apoprotein
