source_locus_tag	target_locus_tag	weight	association	target_organism	target_gene	source_organism	source_gene	cross_species	source_organism_name	target_organism_name	source_gene_product	target_gene_product
Ga0081607_113410	Ga0081607_10311	0.07474	positive	Ga0081607	10311	Ga0081607	113410	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_10311	Ga0081607_113410	0.07474	positive	Ga0081607	113410	Ga0081607	10311	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_11135	Ga0081629_10266	0.07207	positive	Ga0081629	10266	Ga0081629	11135	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	type IV pilus assembly protein PilA
Ga0081629_10266	Ga0081629_11135	0.07207	positive	Ga0081629	11135	Ga0081629	10266	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	type IV pilus assembly protein PilA	hypothetical protein
Ga0081629_11135	Ga0081629_12085	0.0667	positive	Ga0081629	12085	Ga0081629	11135	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_12085	Ga0081629_11135	0.0667	positive	Ga0081629	11135	Ga0081629	12085	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_122127	Ga0081629_12205	0.06654	positive	Ga0081629	12205	Ga0081629	122127	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	LSU ribosomal protein L35P	hypothetical protein
Ga0081629_12205	Ga0081629_122127	0.06654	positive	Ga0081629	122127	Ga0081629	12205	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	LSU ribosomal protein L35P
Ga0081629_10266	Ga0081629_12085	0.06302	positive	Ga0081629	12085	Ga0081629	10266	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	type IV pilus assembly protein PilA	hypothetical protein
Ga0081629_12085	Ga0081629_10266	0.06302	positive	Ga0081629	10266	Ga0081629	12085	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	type IV pilus assembly protein PilA
Ga0081607_104311	Ga0081607_11521	0.06203	positive	Ga0081607	11521	Ga0081607	104311	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_11521	Ga0081607_104311	0.06203	positive	Ga0081607	104311	Ga0081607	11521	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_10373	Ga0081629_12205	0.0603	positive	Ga0081629	12205	Ga0081629	10373	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	formaldehyde activating enzyme	hypothetical protein
Ga0081629_12205	Ga0081629_10373	0.0603	positive	Ga0081629	10373	Ga0081629	12205	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	formaldehyde activating enzyme
Ga0081629_122127	Ga0081607_11332	0.05198	positive	Ga0081607	11332	Ga0081629	122127	True	Methylotenera mobilis-49 (UID203)	Methylobacter-123 (UID203)	LSU ribosomal protein L35P	hypothetical protein
Ga0081607_11332	Ga0081629_122127	0.05198	positive	Ga0081629	122127	Ga0081607	11332	True	Methylobacter-123 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	LSU ribosomal protein L35P
Ga0081629_12073	Ga0081629_11135	0.05055	positive	Ga0081629	11135	Ga0081629	12073	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	cold-shock DNA-binding protein family	hypothetical protein
Ga0081629_11135	Ga0081629_12073	0.05055	positive	Ga0081629	12073	Ga0081629	11135	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	cold-shock DNA-binding protein family
